T1,T2,T3
0.7996,0.105,0.0954
0.6408,0.2173,0.1419
0.678,0.21,0.112
0.666,0.192,0.142
0.4884,0.1678,0.3438
0.5854,0.1562,0.2584
0.593,0.15,0.257
0.4082,0.2134,0.3784
0.4373,0.2411,0.3216
0.3902,0.2476,0.3622
0.2742,0.1992,0.5266
0.4158,0.2554,0.3288
0.4391,0.2586,0.3023
0.5204,0.2436,0.236
0.53,0.26,0.21
0.558,0.196,0.246
0.312,0.514,0.174
0.508,0.4,0.092
0.8581,0.0736,0.0683
0.6526,0.1762,0.1712
0.6188,0.1806,0.2006
0.461,0.34,0.199
0.393,0.393,0.214
0.36,0.4115,0.2285
0.297,0.2492,0.4538
0.309,0.3137,0.3773
0.3636,0.4201,0.2163
0.2628,0.5272,0.21
0.2499,0.5502,0.1999
0.4224,0.3218,0.2558
0.2994,0.2479,0.4527
0.117,0.445,0.438
0.0796,0.1144,0.806
0.4773,0.2154,0.3073
0.4192,0.2896,0.2912
0.3558,0.2852,0.359
0.476,0.228,0.296
0.339,0.283,0.378
0.1956,0.4175,0.3869
0.162,0.379,0.459
0.368,0.472,0.16
0.2199,0.59,0.1901
0.3791,0.4163,0.2046
0.4123,0.3571,0.2306
0.4272,0.3089,0.2639
0.4414,0.3091,0.2495
0.25260000000000005,0.5264000000000001,0.22100000000000003
0.3836,0.2664,0.35
0.2576,0.4112,0.3312
0.3304,0.2688,0.4008
0.2624,0.3962,0.3414
0.4568,0.2446,0.2986
0.4292,0.2826,0.2882
0.3464,0.3618,0.2918
0.3292,0.3206,0.3502
0.3632,0.2762,0.3606
0.416,0.314,0.27
0.408,0.283,0.309
0.3842,0.3374,0.2784
0.445,0.325,0.23
0.4648,0.3526,0.1826
0.4306,0.2888,0.2806
0.5296,0.2398,0.2306
0.3556,0.275,0.3694
0.4264,0.2888,0.2848
0.4659,0.3189,0.2152
0.3555,0.4199,0.2246
0.2834,0.5202,0.1964
0.3696,0.3667,0.2637
0.26,0.3894,0.3506
0.304,0.304,0.392
0.2997,0.2977,0.4026
0.326,0.3421,0.3319
0.30350000000000005,0.35050000000000003,0.34600000000000003
0.3507,0.3323,0.317
0.3831,0.3618,0.2551
0.224,0.4763,0.2997
0.2984,0.394,0.3076
0.2142,0.2841,0.5017
0.2913,0.3321,0.3766
0.4524,0.3813,0.1663
0.5824,0.2968,0.1208
0.6144000000000001,0.25120000000000003,0.13440000000000002
0.567,0.231,0.202
0.3532,0.2086,0.4382
0.3844,0.337,0.2786
0.2318,0.27,0.4982
0.1622,0.4328,0.405
0.1942,0.5126,0.2932
0.163,0.432,0.405
0.2071,0.2937,0.4992
0.2181,0.3353,0.4466
0.2232,0.3568,0.42
0.335,0.333,0.332
0.3428,0.3948,0.2624
0.326,0.4032,0.2708
0.3656,0.3716,0.2628
0.462,0.2646,0.2734
0.379,0.3166,0.3044
0.4432,0.2432,0.3136
0.4152,0.2804,0.3044
0.372,0.31,0.318
0.4202,0.2882,0.2916
0.5008,0.2768,0.2224
0.532,0.22,0.248
0.33,0.377,0.293
0.306,0.338,0.356
0.248,0.3772,0.3748
0.2526,0.4454,0.302
0.4882,0.314,0.1978
0.6044,0.2143,0.1813
0.4612,0.3064,0.2324
0.3998,0.3438,0.2564
0.4162,0.2968,0.287
0.448,0.2628,0.2892
0.4153,0.2672,0.3175
0.4182,0.2818,0.3
0.4258,0.2844,0.2898
0.3436,0.2994,0.357
0.501,0.163,0.336
0.3922,0.2992,0.3086
0.3828,0.2424,0.3748
0.3029,0.2951,0.402
0.3128,0.3126,0.3746
0.3372,0.2844,0.3784
0.318,0.278,0.404
0.406,0.206,0.388
0.147,0.408,0.445
0.2275,0.334,0.4385
0.25620000000000004,0.5126000000000001,0.23120000000000002
0.35,0.3258,0.3242
0.3152,0.3102,0.3746
0.3472,0.3204,0.3324
0.458,0.187,0.355
0.279,0.283,0.438
0.4458,0.214,0.3402
0.685,0.137,0.178
0.574,0.258,0.168
0.4239,0.4294,0.1467
0.5183,0.319,0.1627
0.5162,0.3194,0.1644
0.5117,0.3337,0.1546
0.4943,0.3043,0.2014
0.3753,0.2746,0.3501
0.411,0.4155,0.1735
0.4428,0.227,0.3302
0.489,0.194,0.317
0.522,0.228,0.25
0.54,0.246,0.214
0.4806,0.2778,0.2416
0.4372,0.3224,0.2404
0.4722,0.3028,0.225
0.4652,0.3286,0.2062
0.5086,0.2972,0.1942
0.5386,0.2398,0.2216
0.681,0.1666,0.1524
0.7762,0.1364,0.0874
0.5484,0.2454,0.2062
0.5568,0.2672,0.176
0.328,0.3028,0.3692
0.2732,0.3696,0.3572
0.3615,0.2388,0.3997
0.3876,0.2372,0.3752
0.4612,0.2383,0.3005
0.5626,0.1698,0.2676
0.492,0.18,0.328
0.511,0.176,0.313
0.4512,0.3413,0.2075
0.489,0.325,0.186
0.341,0.448,0.211
0.3018,0.3666,0.3316
0.3065,0.31,0.3835
0.327,0.2959,0.3771
0.24,0.2335,0.5265
0.2996,0.39,0.3104
0.2919,0.3499,0.3582
0.3368,0.274,0.3892
0.3298,0.268,0.4022
0.2733,0.2713,0.4554
0.3098,0.3068,0.3834
0.2995,0.369,0.3315
0.1728,0.2528,0.5744
0.3302,0.266,0.4038
0.3149,0.316,0.3691
0.367,0.3002,0.3328
0.2794,0.4118,0.3088
0.2452,0.5464,0.2084
0.3038,0.4584,0.2378
0.3774,0.3024,0.3202
0.3578,0.4168,0.2254
0.44120000000000004,0.40220000000000006,0.15660000000000002
0.6235,0.2132,0.1633
0.4385,0.2985,0.263
0.431,0.318,0.251
0.399,0.3564,0.2446
0.3554,0.3555,0.2891
0.3096,0.3648,0.3256
0.3693,0.3573,0.2734
0.3112,0.358,0.3308
0.3304,0.3812,0.2884
0.2622,0.4492,0.2886
0.3985,0.3169,0.2846
0.357,0.398,0.245
0.345,0.356,0.299
0.3012,0.4188,0.28
0.2758,0.4778,0.2464
0.2784,0.4796,0.242
0.2538,0.4762,0.27
0.304,0.436,0.26
0.3332,0.3328,0.334
0.3602,0.3164,0.3234
0.325,0.3702,0.3048
0.3162,0.3206,0.3632
0.286,0.198,0.516
0.566,0.234,0.2
0.6952,0.1222,0.1826
0.6356,0.1406,0.2238
0.5358,0.2176,0.2466
0.2752,0.35,0.3748
0.2714,0.3914,0.3372
0.25050000000000006,0.5145000000000001,0.23500000000000001
0.4676,0.3254,0.207
0.38960000000000006,0.36920000000000003,0.24120000000000003
0.324,0.412,0.264
0.2897,0.514,0.1963
0.3906,0.4426,0.1668
0.2268,0.6351,0.1381
0.2324,0.6629,0.1047
0.2603,0.5135,0.2262
0.2699,0.5425,0.1876
0.2842,0.3828,0.333
0.3332,0.411,0.2558
0.4791,0.2518,0.2691
0.614,0.178,0.208
0.4156,0.3082,0.2762
0.3419,0.3474,0.3107
0.3766,0.3336,0.2898
0.3528,0.3345,0.3127
0.3815,0.3006,0.3179
0.3654,0.3372,0.2974
0.5232,0.2484,0.2284
0.394,0.3,0.306
0.443,0.272,0.285
0.5602,0.2808,0.159
0.3492,0.2462,0.4046
0.4412,0.2412,0.3176
0.2658,0.2099,0.5243
0.4704,0.2409,0.2887
0.3292,0.2756,0.3952
0.2866,0.3264,0.387
0.4456,0.18,0.3744
0.366,0.188,0.446
0.2898,0.3174,0.3928
0.36000000000000004,0.28200000000000003,0.35800000000000004
0.301,0.335,0.364
0.1996,0.4144,0.386
0.234,0.2692,0.4968
0.1832,0.316,0.5008
0.3992,0.294,0.3068
0.478,0.274,0.248
0.604,0.242,0.154
0.487,0.27,0.243
0.4674,0.3086,0.224
0.3654,0.1326,0.502
0.406,0.252,0.342
0.3844,0.2828,0.3328
0.2528,0.2984,0.4488
0.4124,0.2572,0.3304
0.336,0.368,0.296
0.289,0.405,0.306
0.3318,0.3535,0.3147
0.3132,0.3078,0.379
0.3882,0.2949,0.3169
0.3452,0.2795,0.3753
0.3126,0.2676,0.4198
0.3412,0.2736,0.3852
0.361,0.267,0.372
0.3244,0.3274,0.3482
0.3188,0.331,0.3502
0.3208,0.3284,0.3508
0.2871,0.3012,0.4117
0.2745,0.2073,0.5182
0.2207,0.2566,0.5227
0.3506,0.2604,0.389
0.3372,0.2548,0.408
0.3556,0.2569,0.3875
0.4854,0.192,0.3226
0.4214,0.2398,0.3388
0.4298,0.2784,0.2918
0.3257,0.2997,0.3746
0.4408,0.2342,0.325
0.373,0.2708,0.3562
0.3912,0.3114,0.2974
0.3638,0.3264,0.3098
0.5862,0.2325,0.1813
0.536,0.2224,0.2416
0.3274,0.3412,0.3314
0.5154,0.2582,0.2264
0.5418,0.1896,0.2686
0.717,0.04,0.243
0.5402,0.1,0.3598
0.4766,0.1414,0.382
0.41,0.2245,0.3655
0.4122,0.2556,0.3322
0.2826,0.3894,0.328
0.262,0.249,0.489
0.3284,0.224,0.4476
0.215,0.49,0.295
0.2658,0.4168,0.3174
0.3238,0.4024,0.2738
0.433,0.235,0.332
0.4412,0.2144,0.3444
0.3026,0.2702,0.4272
0.472,0.2105,0.3175
0.533,0.225,0.242
0.3424,0.2908,0.3668
0.327,0.296,0.377
0.279,0.295,0.426
0.35850000000000004,0.38430000000000003,0.25720000000000004
0.156,0.4979,0.3461
0.1545,0.5654,0.2801
0.1633,0.4826,0.3541
0.4072,0.3611,0.2317
0.2748,0.4506,0.2746
0.2734,0.4274,0.2992
0.4994,0.3472,0.1534
0.462,0.2972,0.2408
0.299,0.2468,0.4542
0.3044,0.1772,0.5184
0.3696,0.237,0.3934
0.411,0.254,0.335
0.362,0.305,0.333
0.616,0.222,0.162
0.631,0.218,0.151
0.655,0.193,0.152
0.419,0.307,0.274
0.2954,0.3044,0.4002
0.5354000000000001,0.35860000000000003,0.10600000000000001
0.61,0.264,0.126
0.2428,0.678,0.0792
0.26860000000000006,0.6194000000000001,0.11200000000000002
0.24240000000000003,0.6172000000000001,0.14040000000000002
0.291,0.471,0.238
0.3796,0.2953,0.3251
0.3596,0.3145,0.3259
0.3484,0.2979,0.3537
0.3683,0.306,0.3257
0.3418,0.2336,0.4246
0.3194,0.2368,0.4438
0.3876,0.3166,0.2958
0.4426,0.2682,0.2892
0.681,0.1364,0.1826
0.493,0.248,0.259
0.5346,0.2318,0.2336
0.517,0.245,0.238
0.447,0.249,0.304
0.4224,0.329,0.2486
0.3698,0.369,0.2612
0.406,0.3138,0.2802
0.5694,0.2636,0.167
0.377,0.3235,0.2995
0.36,0.382,0.258
0.3894,0.3068,0.3038
0.217,0.344,0.439
0.3122,0.2858,0.402
0.305,0.357,0.338
0.296,0.234,0.47
0.3054,0.2788,0.4158
0.298,0.282,0.42
0.2112,0.3506,0.4382
0.2388,0.3008,0.4604
0.268,0.3992,0.3328
0.4018,0.32,0.2782
0.28,0.353,0.367
0.37,0.333,0.297
0.232,0.322,0.446
0.354,0.578,0.068
0.3632,0.2414,0.3954
0.4487,0.2974,0.2539
0.396,0.2668,0.3372
