T1,T2,T3
"(O,(P1,(P2,P3)));","(O,(P2,(P1,P3)));","(O,(P3,(P1,P2)));"
0.452,0.408,0.14
0.452,0.408,0.14
0.506,0.354,0.14
0.568,0.317,0.115
0.3108,0.4154,0.2738
0.3108,0.4154,0.2738
0.3108,0.4154,0.2738
0.3108,0.4154,0.2738
0.3248,0.3804,0.2948
0.3392,0.3992,0.2616
0.3284,0.4044,0.2672
0.3284,0.4044,0.2672
0.354,0.4396,0.2064
0.4148,0.3742,0.211
0.4148,0.3742,0.211
0.4274,0.3904,0.1822
0.3848,0.4068,0.2084
0.3904,0.368,0.2416
0.4002,0.379,0.2208
0.3814,0.377,0.2416
0.3814,0.377,0.2416
0.4288,0.3402,0.231
0.497,0.291,0.212
0.5028,0.2794,0.2178
0.5172,0.2582,0.2246
0.5274,0.2354,0.2372
0.463,0.2564,0.2806
0.4258,0.2854,0.2888
0.4622,0.25,0.2878
0.4518,0.2782,0.27
0.4518,0.2782,0.27
0.4732,0.242,0.2848
0.5304,0.2134,0.2562
0.5304,0.2134,0.2562
0.5304,0.2134,0.2562
0.5358,0.2126,0.2516
0.5496,0.1982,0.2522
0.5208,0.197,0.2822
0.4584,0.2416,0.3
0.4988,0.218,0.2832
0.4988,0.218,0.2832
0.4988,0.218,0.2832
0.4496,0.2516,0.2988
0.436,0.2434,0.3206
0.4536,0.2244,0.322
0.4106,0.2382,0.3512
0.3762,0.2558,0.368
0.3513,0.2682,0.3805
0.3594,0.2772,0.3634
0.3584,0.2792,0.3624
0.3152,0.332,0.3528
0.3258,0.342,0.3322
0.3228,0.342,0.3352
0.294,0.2797,0.4263
0.294,0.2797,0.4263
0.3094,0.2791,0.4115
0.2934,0.3027,0.4039
0.2791,0.328,0.3929
0.3236,0.2966,0.3798
0.305,0.306,0.389
0.305,0.306,0.389
0.3,0.304,0.396
0.3399,0.2982,0.3619
0.3484,0.3082,0.3434
0.3322,0.3176,0.3502
0.3322,0.3176,0.3502
0.3463,0.2962,0.3575
0.3463,0.2962,0.3575
0.3463,0.2962,0.3575
0.3167,0.3215,0.3618
0.3168,0.3378,0.3454
0.3168,0.3378,0.3454
0.3322,0.3156,0.3522
0.3508,0.3026,0.3466
0.4022,0.2752,0.3226
0.4032,0.2742,0.3226
0.3978,0.2754,0.3268
0.4241,0.2598,0.3161
0.4459,0.2688,0.2853
0.4467,0.2376,0.3157
0.4458,0.2357,0.3185
0.4219,0.2472,0.3309
0.4071,0.2828,0.3101
0.4089,0.2778,0.3133
0.4089,0.2778,0.3133
0.4088,0.2753,0.3159
0.3741,0.2893,0.3366
0.3514,0.2944,0.3542
0.3514,0.2944,0.3542
0.3158,0.3176,0.3666
0.3158,0.3176,0.3666
0.3158,0.3176,0.3666
0.317,0.3232,0.3598
0.317,0.3232,0.3598
0.3179,0.3241,0.358
0.3179,0.3241,0.358
0.3179,0.3241,0.358
0.3179,0.3241,0.358
0.3164,0.3326,0.351
0.3425,0.316,0.3415
0.3425,0.325,0.3325
0.3425,0.325,0.3325
0.3425,0.325,0.3325
0.344,0.3298,0.3262
0.3335,0.3159,0.3506
0.3396,0.2928,0.3676
0.3396,0.2928,0.3676
0.3396,0.2928,0.3676
0.3432,0.2696,0.3872
0.3432,0.2696,0.3872
0.3402,0.2726,0.3872
0.3402,0.2726,0.3872
0.3366,0.2928,0.3706
0.3386,0.2898,0.3716
0.3386,0.2898,0.3716
0.323,0.3538,0.3232
0.323,0.3538,0.3232
0.3179,0.3752,0.3069
0.3117,0.3876,0.3007
0.3454,0.3628,0.2918
0.345,0.3634,0.2916
0.345,0.3634,0.2916
0.345,0.3634,0.2916
0.3476,0.3572,0.2952
0.3274,0.4006,0.272
0.3274,0.4006,0.272
0.3058,0.1618,0.5324
0.3106,0.1288,0.5606
0.3106,0.1288,0.5606
0.3106,0.1288,0.5606
0.3106,0.1288,0.5606
0.3106,0.1288,0.5606
0.313,0.1432,0.5438
0.3686,0.156,0.4754
0.3734,0.1768,0.4498
0.3734,0.1768,0.4498
0.4916,0.1828,0.3256
0.513,0.1598,0.3272
0.5382,0.1444,0.3174
0.548,0.144,0.308
0.562,0.118,0.32
0.513,0.17,0.317
0.513,0.221,0.266
0.513,0.221,0.266
0.513,0.221,0.266
0.549,0.197,0.254
0.549,0.197,0.254
0.549,0.197,0.254
0.562,0.186,0.252
0.576,0.198,0.226
0.562,0.186,0.252
0.538,0.21,0.252
0.602,0.2,0.198
0.484,0.16,0.356
0.484,0.16,0.356
0.484,0.16,0.356
0.484,0.16,0.356
0.484,0.16,0.356
0.484,0.16,0.356
0.484,0.16,0.356
0.4698,0.1852,0.345
0.3738,0.264,0.3622
0.3738,0.264,0.3622
0.291,0.3006,0.4084
0.3213,0.3327,0.346
0.374,0.3114,0.3146
0.374,0.3114,0.3146
0.3236,0.3642,0.3122
0.2735,0.4413,0.2852
0.2732,0.417,0.3098
0.4196,0.213,0.3674
0.3872,0.258,0.3548
0.3816,0.2854,0.333
0.394,0.3002,0.3058
0.394,0.3002,0.3058
0.4246,0.2714,0.304
0.4224,0.2732,0.3044
0.4224,0.2732,0.3044
0.4688,0.2836,0.2476
0.4148,0.3124,0.2728
0.4068,0.2956,0.2976
0.4068,0.2956,0.2976
0.4068,0.2956,0.2976
0.4068,0.2956,0.2976
0.4068,0.3226,0.2706
0.4068,0.3226,0.2706
0.5068,0.2906,0.2026
0.4608,0.3066,0.2326
0.4608,0.3066,0.2326
0.4608,0.3066,0.2326
0.4608,0.3066,0.2326
0.4608,0.3066,0.2326
0.4608,0.3066,0.2326
0.4408,0.3304,0.2288
0.4664,0.3032,0.2304
0.4664,0.3032,0.2304
0.4664,0.3032,0.2304
0.2632,0.2368,0.5
0.268,0.2696,0.4624
0.2498,0.314,0.4362
0.2498,0.314,0.4362
0.237,0.2935,0.4695
0.237,0.2935,0.4695
0.2136,0.3129,0.4735
0.2116,0.3169,0.4715
0.2616,0.3169,0.4215
0.2616,0.3169,0.4215
0.321,0.2521,0.4269
0.321,0.2521,0.4269
0.321,0.2521,0.4269
0.3402,0.2563,0.4035
0.3422,0.2563,0.4015
0.3706,0.2346,0.3948
0.3598,0.2143,0.4259
0.3579,0.2248,0.4173
0.357,0.2229,0.4201
0.354,0.2259,0.4201
0.3292,0.2091,0.4617
0.3292,0.2091,0.4617
0.3172,0.2823,0.4005
0.2409,0.2531,0.506
0.2401,0.2523,0.5076
0.2433,0.2555,0.5012
0.2235,0.2451,0.5314
0.1789,0.1933,0.6278
0.1789,0.1933,0.6278
0.182,0.2186,0.5994
