T1_bounds,T2_bounds,T3_bounds,count_data,count_model,prop_data,prop_model,prop_residual,residual_squared,count_residual
"(0.15, 0.2)","(0.8, 0.85)","(0.0, 0.05)",15,1,0.000506141179646376,3.335445782328808e-05,0.0004727867218230879,2.235272843322219e-07,14
"(0.2, 0.25)","(0.0, 0.05)","(0.75, 0.8)",11,1,0.0003711701984073424,3.335445782328808e-05,0.0003378157405840543,1.1411947458635307e-07,10
"(0.2, 0.25)","(0.0, 0.05)","(0.7, 0.75)",14,2,0.00047239843433661763,6.670891564657616e-05,0.0004056895186900415,1.645839855749575e-07,12
"(0.2, 0.25)","(0.05, 0.1)","(0.7, 0.75)",18,3,0.0006073694155756512,0.00010006337346986425,0.000507306042105787,2.573594203570385e-07,15
"(0.2, 0.25)","(0.05, 0.1)","(0.65, 0.7)",28,9,0.0009447968686732353,0.00030019012040959276,0.0006446067482636425,4.15517859907027e-07,19
"(0.2, 0.25)","(0.1, 0.15)","(0.65, 0.7)",32,15,0.001079767849912269,0.0005003168673493213,0.0005794509825629477,3.357634411931655e-07,17
"(0.2, 0.25)","(0.1, 0.15)","(0.6, 0.65)",50,27,0.00168713726548792,0.0009005703612287782,0.0007865669042591419,6.186874948758101e-07,23
"(0.2, 0.25)","(0.15, 0.2)","(0.6, 0.65)",45,34,0.001518423538939128,0.0011340515659917947,0.00038437197294733326,1.4774181358742549e-07,11
"(0.2, 0.25)","(0.15, 0.2)","(0.55, 0.6)",60,43,0.002024564718585504,0.0014342416864013875,0.0005903230321841165,3.484812823270494e-07,17
"(0.2, 0.25)","(0.2, 0.25)","(0.55, 0.6)",46,42,0.0015521662842488866,0.0014008872285780996,0.00015127905567078703,2.288535268464508e-08,4
"(0.2, 0.25)","(0.2, 0.25)","(0.5, 0.55)",62,91,0.0020920502092050207,0.0030352556619192153,-0.0009432054527141946,8.896365260297888e-07,-29
"(0.2, 0.25)","(0.25, 0.3)","(0.5, 0.55)",55,66,0.0018558509920367121,0.0022013942163370136,-0.00034554322430030144,1.1940011985984843e-07,-11
"(0.2, 0.25)","(0.25, 0.3)","(0.45, 0.5)",70,88,0.002361992171683088,0.0029351922884493513,-0.0005732001167662632,3.2855837386085774e-07,-18
"(0.2, 0.25)","(0.3, 0.35)","(0.45, 0.5)",50,65,0.00168713726548792,0.0021680397585137254,-0.00048090249302580536,2.3126720779843476e-07,-15
"(0.2, 0.25)","(0.3, 0.35)","(0.4, 0.45)",77,99,0.002598191388851397,0.00330209132450552,-0.0007038999356541232,4.954751194138788e-07,-22
"(0.2, 0.25)","(0.35, 0.4)","(0.4, 0.45)",55,58,0.0018558509920367121,0.0019345585537507088,-7.870756171399662e-05,6.194880270962587e-09,-3
"(0.2, 0.25)","(0.35, 0.4)","(0.35, 0.4)",74,97,0.0024969631529221216,0.003235382408858944,-0.0007384192559368222,5.452629975382902e-07,-23
"(0.2, 0.25)","(0.4, 0.45)","(0.35, 0.4)",54,63,0.0018221082467269538,0.002101330842867149,-0.00027922259614019534,7.796525819527063e-08,-9
"(0.2, 0.25)","(0.4, 0.45)","(0.3, 0.35)",60,83,0.002024564718585504,0.002768419999332911,-0.000743855280747407,5.533206786958036e-07,-23
"(0.2, 0.25)","(0.45, 0.5)","(0.3, 0.35)",55,60,0.0018558509920367121,0.002001267469397285,-0.00014541647736057294,2.1145951887958023e-08,-5
"(0.2, 0.25)","(0.45, 0.5)","(0.25, 0.3)",65,88,0.002193278445134296,0.0029351922884493513,-0.0007419138433150552,5.504361509025164e-07,-23
"(0.2, 0.25)","(0.5, 0.55)","(0.25, 0.3)",50,49,0.00168713726548792,0.001634368433341116,5.276883214680407e-05,2.7845496461375824e-09,1
"(0.2, 0.25)","(0.5, 0.55)","(0.2, 0.25)",63,75,0.0021257929545147793,0.002501584336746606,-0.0003757913822318268,1.4121916295970696e-07,-12
"(0.2, 0.25)","(0.55, 0.6)","(0.2, 0.25)",52,65,0.0017546227561074368,0.0021680397585137254,-0.0004134170024062886,1.7091361787860126e-07,-13
"(0.2, 0.25)","(0.55, 0.6)","(0.15, 0.2)",62,58,0.0020920502092050207,0.0019345585537507088,0.00015749165545431197,2.4803621537739714e-08,4
"(0.2, 0.25)","(0.6, 0.65)","(0.15, 0.2)",52,37,0.0017546227561074368,0.001234114939461659,0.0005205078166457778,2.7092838718935467e-07,15
"(0.2, 0.25)","(0.6, 0.65)","(0.1, 0.15)",50,20,0.00168713726548792,0.0006670891564657616,0.0010200481090221585,1.0404981447196812e-06,30
"(0.2, 0.25)","(0.65, 0.7)","(0.1, 0.15)",41,20,0.0013834525577000945,0.0006670891564657616,0.0007163634012343329,5.131765226280219e-07,21
"(0.2, 0.25)","(0.65, 0.7)","(0.05, 0.1)",36,4,0.0012147388311513024,0.00013341783129315233,0.00108132099985815,1.1692551047342293e-06,32
"(0.2, 0.25)","(0.7, 0.75)","(0.05, 0.1)",22,11,0.0007423403968146848,0.0003668990360561689,0.0003754413607585159,1.409562153682061e-07,11
